<<<<<<< HEAD
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ConfirmP1,ConfirmP2,ConfirmP3,ConfirmP4,ConfirmN1,ConfirmFC2,ConfirmFC3,ConfirmFC4,Rating_1,AttCheck1,AttCheck2,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you finished reading the article?,Have you finished reading the article?,Have you finished reading the article?,Have you finished reading the article?,Have you finished reading the article?,Have you finished reading the article?,Have you finished reading the article?,Have you finished reading the article?,"Based on the news reports you saw, to what extent do you agree that a bear was seen close to the school? Please rate your agreement on the scale below from 0 (strongly disagree) to 100 (strongly agree) - 1",Which of the following students gave statements to the media about the bear sightings? (please select all who did),Which of the following schools was the media report about?,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""mTurkCode""}"
2019-10-26 12:15:20,2019-10-26 12:16:31,1,,100,71,1,2019-10-26 12:16:31,R_3nDgUaldn3bWJOL,,,,,37.423004150390625,-122.1638946533203125,preview,EN,,,,,,,,,67,"1,3,6,8,10",4,7502178
2019-10-26 12:27:29,2019-10-26 12:29:17,0,172.58.35.47,100,108,1,2019-10-26 12:29:18,R_wYt6zDkvkAE3ZND,,,,,37.3511962890625,-121.8845977783203125,anonymous,EN,,,,,,,,,71,"3,6",4,9095244
2019-10-26 13:01:27,2019-10-26 13:02:23,0,197.210.45.172,100,56,1,2019-10-26 13:02:24,R_263ZobfPgk3Nbo2,,,,,6.4474029541015625,3.3903045654296875,anonymous,EN,,,,,,,,,31,6,3,895536
2019-10-26 13:06:33,2019-10-26 13:12:19,0,197.211.58.29,100,346,1,2019-10-26 13:12:20,R_3QKr7cOVfGcQbm6,,,,,6.4474029541015625,3.3903045654296875,anonymous,EN,,,,,,,,,20,"6,10",4,4255444
2019-10-26 13:01:59,2019-10-26 13:13:29,0,197.211.58.20,100,690,1,2019-10-26 13:13:30,R_1E0bXdIOqS412Va,,,,,6.4474029541015625,3.3903045654296875,anonymous,EN,,,,,,,,,83,10,4,8103171
2019-10-26 13:04:47,2019-10-26 13:13:59,0,197.211.58.16,100,551,1,2019-10-26 13:13:59,R_XEU07aFCurj2w2B,,,,,6.4474029541015625,3.3903045654296875,anonymous,EN,,,,,,,,,10,3,4,6936774
2019-10-26 13:07:15,2019-10-26 13:16:07,0,104.192.239.53,100,532,1,2019-10-26 13:16:07,R_28Ap27bH7NGYJAN,,,,,36.52459716796875,-87.34649658203125,anonymous,EN,,,,,,,,,100,"1,4,5,8",4,9379364
2019-10-26 13:15:44,2019-10-26 13:17:39,0,105.112.66.187,100,114,1,2019-10-26 13:17:39,R_UEfTZcKrA6NVys9,,,,,6.4474029541015625,3.3903045654296875,anonymous,EN,,,,,,,,,52,"1,7,10",1,
